Location,Hospital,Address,State,District,Pincode
3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Jyothi Nursing Home,3/374 Railway Station Road Railway Station Road,Andhra Pradesh,Y.S.R.,516001
"3/224, Upendra Complex,",K.C.M. Hospital,"#3/224, Upendra Complex",Andhra Pradesh,Y.S.R.,516001
"2/402, R.S Road, Opposite Csi Church, Kadapa",Likhith Laparoscopic Centre,"2/402, R.S Road, Opposite Csi Church",Andhra Pradesh,Y.S.R.,516001
21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Palla Krishnaiah Memorial And Nursing Home,21/188 and 21/187 Christian Lane,Andhra Pradesh,Y.S.R.,516001
"4-370, Infront Of H P Gas Koti Reddy Street, Nagarajupeta",Pasupuleti Nursing Home,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta",Andhra Pradesh,Y.S.R.,516001
"Opp:Municipal Water Tank, Near Old Govt Hospital, Kadapa",Priyatham Clinic,"Opp:Municipal Water Tank, Near Old Govt Hospital",Andhra Pradesh,Y.S.R.,516001
"21/628, Salt Felt Road, Kadapa",Sita Lakshmi Nursing Home,"21/628, Salt Felt Road",Andhra Pradesh,Y.S.R.,516001
"Beside Sri Rama Temple, Nagaraju Pet",Siva Yogi Childrens Hospital,"Beside Sri Rama Temple, Nagaraju Pet",Andhra Pradesh,Y.S.R.,516001
3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Sri Krishna Sahithi Eye Hospital,3/137 Christian Lane Christian Lane,Andhra Pradesh,Y.S.R.,516001
"Madras Road, Kadapa",Srija Rainbow Childrens Hospital,Madras Road,Andhra Pradesh,Y.S.R.,516001
"7/304, Holmbspet, Produttur (P.O.), . Kadapa",Srinivasa Nursing Home,"7/304, Holmbspet, Produttur (P.O.)",Andhra Pradesh,Y.S.R.,516001
"17/48, Kapu Street, Jammalamadugu",Tata Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street, Jammalamadugu",Andhra Pradesh,Y.S.R.,516001
"4/110, Nagarajupet, Near Womens College",Thulasamma Hospital,"4/110, Nagarajupet, Near Womens College",Andhra Pradesh,Y.S.R.,516001
"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre.",Tirumala Hospitals,"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre",Andhra Pradesh,Y.S.R.,516001
Prodatoor,Vijaya Nursing Home,Prodatoor,Andhra Pradesh,Y.S.R.,516001
3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Vurimi Savitramma Cardiac Centre,# 3/225 Upendra Complex Christian Lane,Andhra Pradesh,Y.S.R.,516001
2/1115-1 Nehrunagar,Deepa Nursing Home,2/1115-1 Nehrunagar,Andhra Pradesh,Y.S.R.,516002
"6/1414, Sankarapuram",Dr G R K R Multi Speciality Hospitals,"6/1414, Sankarapuram",Andhra Pradesh,Y.S.R.,516002
"Near Petrol Bunk, R. S. Road, Kadapa",Jyothi Nursing Home,"Near Petrol Bunk, R. S. Road",Andhra Pradesh,Y.S.R.,516002
"D.No.3/221,Christian Lane,Near 7 Roads.",Remedy Hospital,"D.No.3/221,Christian Lane,Near 7 Roads",Andhra Pradesh,Y.S.R.,516002
"6-880, Madras Road Sankarapuram",Sri Satya Sai Hospital,"6-880, Madras Road Sankarapuram",Andhra Pradesh,Y.S.R.,516002
"D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli Kadapa Dt.- 516004",Himalaya Multi Speciality Hospital,"D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli",Andhra Pradesh,Y.S.R.,516004
"1/706 - 3, Dwarakanagar",Usha Rani Nursing Home,"1/706 - 3, Dwarakanagar",Andhra Pradesh,Y.S.R.,516004
"10/596 M. G. Road Rly. Kodur, Kadapa",Vishnu Nursing Home,10/596 M. G. Road Rly. Kodur,Andhra Pradesh,Y.S.R.,516101
Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Sree Durgaa Nursing Home,Nagulamanu Street Rajampet Rajampet,Andhra Pradesh,Y.S.R.,516115
"6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Sri Sai Nursing Home,"6/133, R S Road Rajampet Rajampet",Andhra Pradesh,Y.S.R.,516115
Porumamilla,Our Lady Of Fatima Hospital,Porumamilla,Andhra Pradesh,Y.S.R.,516193
"Harinatha Street, Rayachoty,  Kadapa.",Madhavi Nursing Home,"Harinatha Street, Rayachoty",Andhra Pradesh,Y.S.R.,516269
Rayachoti,Raviteja Nursing Home,Rayachoti,Andhra Pradesh,Y.S.R.,516269
"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Abhilash Netra Vidyasala,"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur",Andhra Pradesh,Y.S.R.,516360
"Gandhi Road, Proddatur (P.O.), . Kadapa",B. G. R. Hospital,"Gandhi Road, Proddatur (P.O.)",Andhra Pradesh,Y.S.R.,516360
"Near Gabdhi Statue, Gandhi Road, Proddatur",Bhavya Nursing Home,"Near Gabdhi Statue, Gandhi Road, Proddatur",Andhra Pradesh,Y.S.R.,516360
Gandhi Road Proddutur Proddatur 516360  Kadapa,Cnr Nursing Home,Gandhi Road Proddutur Proddatur 516360  Kadapa,Andhra Pradesh,Y.S.R.,516360
"3/1471, Opposite Super Bazar Road, Gandhi Road",Dr. S. V. R. Hospital,"3/1471, Opposite Super Bazar Road, Gandhi Road",Andhra Pradesh,Y.S.R.,516360
"5/1888, Geetha Ashramam Road,  Kaddapa",Jaya Vishnu Nursing Home,"5/1888, Geetha Ashramam Road",Andhra Pradesh,Y.S.R.,516360
"3 / 1467, Holmespet Proddatur",Kalyana Chakravarthy Hospitals - Proddatur,"3 / 1467 , Holmespet , Proddatur",Andhra Pradesh,Y.S.R.,516360
"8/399, Swayam Sevak Road, Proddatur",Kathya Nursing Home,"8/399, Swayam Sevak Road, Proddatur",Andhra Pradesh,Y.S.R.,516360
"No. 5/1895, Gandhi Road,Geetha Ashram Street,",Lakshmi Kishore Hospital,"No. 5/1895, Gandhi Road,Geetha Ashram Street",Andhra Pradesh,Y.S.R.,516360
"3 - 146 Holmespeta, Proddatur rict - Kadapa",Latha Mutispeciality Hospital - Proddatur,"3 - 146 Holmespeta, Proddatur rict",Andhra Pradesh,Y.S.R.,516360
"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Orthopaedic And Maternity Hospital,"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Andhra Pradesh,Y.S.R.,516360
Sreeramulapeta,Prasad Nursing Home,Sreeramulapeta,Andhra Pradesh,Y.S.R.,516360
"8/700, OppositePosina Compound, Gandhi Road,Proddatur",Shree Veja Nursing Home,"8/700, OppositePosina Compound, Gandhi Road,Proddatur",Andhra Pradesh,Y.S.R.,516360
"4/626,Gandhi Road,Proddatur",Siva Nursing Home,"4/626,Gandhi Road,Proddatur",Andhra Pradesh,Y.S.R.,516360
"8/699, Gandhi Road,",Sree Veja Nursing Home,"8/699, Gandhi Road",Andhra Pradesh,Y.S.R.,516360
"3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality,",Sri Sai Hospitals,"3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality",Andhra Pradesh,Y.S.R.,516360
"3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.), . Kadapa",Sri Swarna Hospital,"3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.)",Andhra Pradesh,Y.S.R.,516360
"T. B. Road, t. Kaddapa",Swarup Eye Hospital and Laser Center,T. B. Road,Andhra Pradesh,Y.S.R.,516360
Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur 516360  Kadapa,Vaatsalya Hospital,Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur,Andhra Pradesh,Y.S.R.,516360
"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Vijaya Eye Hospital,"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Andhra Pradesh,Y.S.R.,516360
"Balarapuram, Pulivendula 516390  Ysr",Dinesh Medical Centre,"Balarapuram, Pulivendula",Andhra Pradesh,Y.S.R.,516390
Holmespet Proddatur Kadapa,Nikhil Nursing Home,Holmespet Proddatur,Andhra Pradesh,Y.S.R.,516434
"17-48, Kapu Street, Jammalamadugu Kadapa Andra Pradesh",Sree Tati Reddy Ramalinga Reddy Nursing Home,"17-48, Kapu Street, Jammalamadugu",Andhra Pradesh,Y.S.R.,516434
"17/48, Kapu Street Jammalamadugu Kadapa 516434 : Kadapa",Sri Thati Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street Jammalamadugu",Andhra Pradesh,Y.S.R.,516434
"M D O Office Road, Jammalamadugu,Kadapa",Venkata Sai Baradwaja Hospital,"M D O Office Road, Jammalamadugu",Andhra Pradesh,Y.S.R.,516434
"20-1-61, Opposite L. I. C. Building, Main Road",7 Star Superspeciality Hospital,"20-1-61, Opposite L. I. C. Building, Main Road",Andhra Pradesh,East Godavari,533001
"13-1-3, Main Road, Kakinada",Apollo Samudra Hospitals,"13-1-3, Main Road, Kakinada",Andhra Pradesh,East Godavari,533001
Kakinada,Bharani Hospital,Kakinada,Andhra Pradesh,East Godavari,533001
"Near Ii Town Police Station,Main Road.",Care Emergency Hospital,"Near Ii Town Police Station,Main Road.",Andhra Pradesh,East Godavari,533001
Kakinada,Christian Cancer Center,Kakinada,Andhra Pradesh,East Godavari,533001
P.R.College Road,D V Raju Eye Hospital,P.R.College Road,Andhra Pradesh,East Godavari,533001
"P R College Road, Opp Govt Hospitals P R College Road Kakinada 533001  East Godavari",Haritha Hospitals,"P R College Road, Opp Govt Hospitals P R College Road Kakinada",Andhra Pradesh,East Godavari,533001
Kakinada,Kakinada Nursing Home,Kakinada,Andhra Pradesh,East Godavari,533001
"13-1-13, Main Road, Kakinada",Life Line Emergency Hospital,"13-1-13, Main Road, Kakinada",Andhra Pradesh,East Godavari,533001
11-11-3/1 Prabhakara Street Ramaraopeta Kakinada 533001  East Godavari,Raghava 24 Hrs Emergency Hospital,11-11-3/1 Prabhakara Street Ramaraopeta Kakinada,Andhra Pradesh,East Godavari,533001
Rajeswai Medicals 50 Builiding Bhaskar Nagar Jn Kakinada-3,Rajeswari Medicals,Rajeswai Medicals 50 Builiding Bhaskar Nagar Jn Kakinada-3,Andhra Pradesh,East Godavari,533001
"9-11-130, Gandhi Nagar, Back Side Of Gandhi Statue",Ramya Hospitals,"# 9-11-130, Gandhi Nagar, Back Side Of Gandhi Statue",Andhra Pradesh,East Godavari,533001
"21-1-24,Jawahar Street,Shalypet, Kakinada : 533001",Sai Sudha Hospital,"21-1-24,Jawahar Street,Shalypet",Andhra Pradesh,East Godavari,533001
"Jawahar Street,Salipeta,.",Sapthagiri Hospitals,"Jawahar Street,Salipeta",Andhra Pradesh,East Godavari,533001
"Dno:21-1-29, Jawahar St, Kakinada",Shravani Ent Hospital,"Dno:21-1-29, Jawahar St, Kakinada",Andhra Pradesh,East Godavari,533001
"34-1-20, Temple Street, rict East Godawari, Kakinada,",Siddhartha Hospital,"34-1-20, Temple Street, rict East Godawari, Kakinada,",Andhra Pradesh,East Godavari,533001
"12-2-24, Dantuvari Street,Behind Chandana Brothers",Sree Bala Nursing Home Sree Bala Ent Care Centre,"12-2-24, Dantuvari Street,Behind Chandana Brothers",Andhra Pradesh,East Godavari,533001
"Nageswara Rao Street,Ramrao Pet,Kakinada",Sri Gowthami Nursing Home,"Nageswara Rao Street,Ramrao Pet,Kakinada",Andhra Pradesh,East Godavari,533001
"Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari",Sri Lalitha Hospitals Institute Of Lap Surgery And Training,"Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari",Andhra Pradesh,East Godavari,533001
"7-3-15 Prakash St, Ramarao Peta, Kakinada",Sri Srinivasa Orthopaedic Centre and Nursing Home,"7-3-15 Prakash St, Ramarao Peta, Kakinada",Andhra Pradesh,East Godavari,533001
Rajahmundry,Srihitha Children Hospital,Rajahmundry,Andhra Pradesh,East Godavari,533001
Kikinada,Vijaya Lakshmi Nursing Home,Kikinada,Andhra Pradesh,East Godavari,533001
Jawahar Street Kakinada Kakinada 533001  East Godavari,Vijaya Nursing Home,Jawahar Street Kakinada Kakinada 533001  East Godavari,Andhra Pradesh,East Godavari,533001
Rajahmundry,Vishwanadha Eye and Maternity Hospital,Rajahmundry,Andhra Pradesh,East Godavari,533001
"Endowments Colony, 100 Building Centre Srinagar",Bhanu Nursing Home and Eye Hospital,"Endowments Colony, 100 Building Centre Srinagar",Andhra Pradesh,East Godavari,533003
"Nfcl Road, Nagamallithota Junction,",Lifeline Emergency and Neuro Centre,"Nfcl Road, Nagamallithota Junction,",Andhra Pradesh,East Godavari,533003
"2-4-10 Near Suruchi Sweet Stall, Behind Padmapriva Theatre, Bhanugudi Junction, Kakinada",Mother and Child Hospital,"2-4-10 Near Suruchi Sweet Stall, Behind Padmapriva Theatre, Bhanugudi Junction, Kakinada",Andhra Pradesh,East Godavari,533003
"2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari",Nayana Eye Care,"2-10-50 Srinagar, Bhanugudi Junction Kakinada 533003  East Godavari",Andhra Pradesh,East Godavari,533003
"Ganjamvari Street, Kakinada",Ramalingeswara Nursing Home,"Ganjamvari Street, Kakinada",Andhra Pradesh,East Godavari,533003
"H.No.2-2-7, Usha Priya Complex Bhanugudi",Safe Emergency Hospital,"H.No.2-2-7, Usha Priya Complex Bhanugudi",Andhra Pradesh,East Godavari,533003
"Lig No.6,100 Building Complex Road, Kakinada",Saipriya Maternity Hospital,"Lig No.6,100 Building Complex Road, Kakinada",Andhra Pradesh,East Godavari,533003
"2- 27- 24/1, Gokul Street Sree Nagar Colony, East Godavari",Srujana Multi Speciality Hospital,"2- 27- 24/1, Gokul Street Sree Nagar Colony, East Godavari",Andhra Pradesh,East Godavari,533003
"11-5-9, Gopalakrishna Street,Ramaraopeta, Kakinada",Kasturi Nursing Home,"#11-5-9, Gopalakrishna Street,Ramaraopeta, Kakinada",Andhra Pradesh,East Godavari,533004
"Gandhi Nagar, Gandhi Nagar",Poly Clinic and Hospital,"Gandhi Nagar, Gandhi Nagar",Andhra Pradesh,East Godavari,533004
"11-5-10, Gopala Krishna Street, Ramaraopet,Kakinada",Ravichandra Hospital,"11-5-10, Gopala Krishna Street, Ramaraopet,Kakinada",Andhra Pradesh,East Godavari,533004
: 11-11-1 Ramaraopet Kakinada 533004  East Godavari,Sanjivi Orthopaedic Hospital,#: 11-11-1 Ramaraopet Kakinada 533004  East Godavari,Andhra Pradesh,East Godavari,533004
"8-5-19/1, Ontimamidi Junction, Gandhinagar, Kakinada",Sri Sai Raghavendra Super Specialities Hospital,"8-5-19/1, Ontimamidi Junction, Gandhinagar, Kakinada",Andhra Pradesh,East Godavari,533004
"10-7-39, Kopellavari Street Ramaraopet(Near Duper Bazar),Kakinada",Sri Venkata Chalapathi Nursing Home,"10-7-39, Kopellavari Street Ramaraopet(Near Duper Bazar),Kakinada",Andhra Pradesh,East Godavari,533004
"7-4-5, Seshasal Street,Ramaraopet,.",Sri Venkateswara Medicare and Research Centre,"7-4-5, Seshasal Street,Ramaraopet,.",Andhra Pradesh,East Godavari,533004
Venugopal Nursing Home Kamalendera Nath Street Narasanana Nagar Kakinada,Sri Venugopal Hospital,Venugopal Nursing Home Kamalendera Nath Street Narasanana Nagar Kakinada,Andhra Pradesh,East Godavari,533004
"10-5-8, Nageswara Rao Street, Rama Rao Pet 2Nd Junction Kakinada 533004  East Godavari",Sudha Urology And Andrology Hospital,"10-5-8, Nageswara Rao Street, Rama Rao Pet 2Nd Junction Kakinada 533004  East Godavari",Andhra Pradesh,East Godavari,533004
"10-5-27/1, Nageswara Rao Street, Ramaraopeta Kakinada 533004  East Godavari",Surya Global Hospitals,"10-5-27/1, Nageswara Rao Street, Ramaraopeta Kakinada 533004  East Godavari",Andhra Pradesh,East Godavari,533004
"6-1-37/Nookalamma Temple Street, Suryaraopet, Kakinada 533004  East Godavari",Vasan Eye Care Hospital,"6-1-37/Nookalamma Temple Street, Suryaraopet, Kakinada 533004  East Godavari",Andhra Pradesh,East Godavari,533004
"3-29, Sarpavaram Junction, Kankinada-533005",Sarvottam Healthcare Private Limited,"3-29, Sarpavaram Junction, Kankinada-533005",Andhra Pradesh,East Godavari,533005
"Near Atchampeta Junction, Penumarthi Road, A.P.S.P Camp Post, Kakinada,",Srikiran Institute Of Ophthalmology,"Near Atchampeta Junction, Penumarthi Road, A.P.S.P Camp Post, Kakinada,",Andhra Pradesh,East Godavari,533005
"D. No. 1-82/A, Near Railway Crossing, Nadavpathan",Surya Global Multispeciality and Cancer Reesearch Center,"D. No. 1-82/A, Near Railway Crossing, Nadavpathan",Andhra Pradesh,East Godavari,533005
"4-111, Manikyanagar Rd-2, Valasapakala, Kakinada",Sushrutha Hospital,"4-111, Manikyanagar Rd-2, Valasapakala, Kakinada",Andhra Pradesh,East Godavari,533005
"3-29, Sarpavaram Junction Sarpavaram Junction",Trust Hospital(A Unit Of Sarvottam Health Care),"3-29, Sarpavaram Junction Sarpavaram Junction",Andhra Pradesh,East Godavari,533005
Pedapudi,Sri Srinivasa Nursing Home,Pedapudi,Andhra Pradesh,East Godavari,533006
"J N Road Ramalayam, Tilak Road",Abhay Nursing Home,"J N Road Ramalayam, Tilak Road",Andhra Pradesh,East Godavari,533101
"6-18-3, Kokkondavari Street, Rajahmundry",Aravindam Ortho and Physio Centre,"6-18-3, Kokkondavari Street, Rajahmundry",Andhra Pradesh,East Godavari,533101
"Main Road, Innespeta",Aruna Hospital and Poly Clinic,"Main Road,, Innespeta",Andhra Pradesh,East Godavari,533101
Prakash Nagar Rajahmundry,Bhaskara Raju Children Hospital,Prakash Nagar Rajahmundry,Andhra Pradesh,East Godavari,533101
"36-26-10/1, Behind Kotipalli Bus Stand, Road-Cum-Railbridge Centre",Life Emergency Hospital Private Limited,"36-26-10/1, Behind Kotipalli Bus Stand, Road-Cum-Railbridge Centre",Andhra Pradesh,East Godavari,533101
"Behind Nagadevi Theatre, Gondhkavarama",S A I Orthopaedics Trauma and General Hospital,"Behind Nagadevi Theatre, Gondhkavarama",Andhra Pradesh,East Godavari,533101
"Lakshmi Varapupeta, Devi Chowk",Siddhartha Orthopedic Hospital and Poly Clinic,"Lakshmi Varapupeta, Devi Chowk",Andhra Pradesh,East Godavari,533101
"Innespt, Rajahmundry-1",Sri Satya Nursing Home,"Innespt, Rajahmundry-1",Andhra Pradesh,East Godavari,533101
"75-8-12, Gandhipuram-Ii",Sri Srinivasa Hospitals,"75-8-12, Gandhipuram-Ii",Andhra Pradesh,East Godavari,533101
"D.No. 10-7-38, Fort Gate,Near Adilaxmi Temple . Rangreejupeta. Rajahmundry",Sri Venkateswara Hospitals,"D.No. 10-7-38, Fort Gate,Near Adilaxmi Temple . Rangreejupeta. Rajahmundry",Andhra Pradesh,East Godavari,533101
"79-1-4/1, Jn Road Rajamundry Rajamundry 533103  East Godavari",Abhaya Emergency Centre,"79-1-4/1, Jn Road Rajamundry Rajamundry 533103  East Godavari",Andhra Pradesh,East Godavari,533103
"Do. No. 86-26-7, M. S. Narayana Street, Near R. T. C. Complex, V.I. Puram Jn.",Adarsh Hospital,"Do. No. 86-26-7, M. S. Narayana Street, Near R. T. C. Complex, V.I. Puram Jn.",Andhra Pradesh,East Godavari,533103
"74-11-7, Prakash Nagar, East Godavari rict",Alert Emergency Hospital,"# 74-11-7, Prakash Nagar, East Godavari rict",Andhra Pradesh,East Godavari,533103
"D.No : 46-21-10, Danavaipeta, Rajahmundry",Ammanna Memorial Murtys Neuro Super Speciality Ho,"D.No : 46-21-10, Danavaipeta, Rajahmundry",Andhra Pradesh,East Godavari,533103
"D.No:75-6-23, Prakash Nagar, Opposite Indian Bank East Godavari,",Apex Hospital - Rajamundry,"D.No:75-6-23, Prakash Nagar,, Opposite Indian Bank East Godavari,",Andhra Pradesh,East Godavari,533103
"Main Road, Near Kottipalli Bus Stand, Rajahmundry",Aruna Hospital and Polyclinic,"Main Road, Near Kottipalli Bus Stand, Rajahmundry",Andhra Pradesh,East Godavari,533103
"75-8-12,Gandhipuram,Rajahmundry",Bharadwaja Heart and Maternity Centre,"75-8-12,Gandhipuram,Rajahmundry",Andhra Pradesh,East Godavari,533103
"Jayakrishnapuram, Rajahmundry",Bhavani Nursing Home,"Jayakrishnapuram, Rajahmundry",Andhra Pradesh,East Godavari,533103
"77-7-7/1,Seelam Nookaraju Complex,",Bollineni Heart Centre Pvt Ltd,"#77-7-7/1,Seelam Nookaraju Complex,",Andhra Pradesh,East Godavari,533103
"Debichowk, Rajahmundry",Buddudu Orthopeadic Hospital,"Debichowk, Rajahmundry",Andhra Pradesh,East Godavari,533103
"85-6-24/1, R. T. C. Complex Road, V. L. Puram Junction",Chakradhar Hospitals,"85-6-24/1, R. T. C. Complex Road, V. L. Puram Junction",Andhra Pradesh,East Godavari,533103
Near Danavaipeta Park Besind Hdfc Bank Danavaipeta Park Rajamundry 533103  East Godavari,Coastal Cardiac And Maternity Centre,Near Danavaipeta Park Besind Hdfc Bank Danavaipeta Park Rajamundry 533103  East Godavari,Andhra Pradesh,East Godavari,533103
"Vt College Road, Behind Kotipalli Bus Stand, Rajahmundry",Geetha Mullapudi Sperspeciality Dental Hospital,"Vt College Road, Behind Kotipalli Bus Stand, Rajahmundry",Andhra Pradesh,East Godavari,533103
"75-1-12, Prakash Nagar, Rajahmundry, East Godavari",Gowthami Nursing Home,"75-1-12, Prakash Nagar, Rajahmundry , East Godavari",Andhra Pradesh,East Godavari,533103
"75-1-7, Prakash Nagar Rajamundry 533103  East Godavari",Harsha Hospitals,"75-1-7, Prakash Nagar Rajamundry 533103  East Godavari",Andhra Pradesh,East Godavari,533103
"D. No.75-7-20, Near Prakash Nagar,Round Park,",Kamalakar Hospital,"D. No.75-7-20, Near Prakash Nagar,Round Park,",Andhra Pradesh,East Godavari,533103
"Gandhipuram 3, Rajahmundry",Krishna Nursing Home,"Gandhipuram 3, Rajahmundry",Andhra Pradesh,East Godavari,533103
"86-8-6Tilak Road,.",Madhavi Nursing Home,"# 86-8-6Tilak Road,,.",Andhra Pradesh,East Godavari,533103
Bypass Road Thadithota Thadithota Rajamundry 533103  East Godavari,Neela Jear Hospital,Bypass Road Thadithota Thadithota Rajamundry 533103  East Godavari,Andhra Pradesh,East Godavari,533103
"46-12-12,Opp Sagar Hospital, Danavaipet, Rajahmundry,",Nest Hospital,"# 46-12-12,Opp Sagar Hospital, Danavaipet, Rajahmundry,",Andhra Pradesh,East Godavari,533103
"76-5-4, Opposite Aakar Consulting Eng. Ganugala Veedhi, Rajahmundry",Netra Eye Care,"# 76-5-4, Opposite Aakar Consulting Eng. Ganugala Veedhi, Rajahmundry",Andhra Pradesh,East Godavari,533103
"Vemagiri, Kadiyam Road, East Godavari,",Paramahansa Yogananda Netralaya,"Vemagiri, Kadiyam Road, East Godavari,",Andhra Pradesh,East Godavari,533103
"75-6-18,Prakash Nagar Main Road,Near Prakash Nagar Round Park.",Pragati Super Speciality Hospital,"#75-6-18,Prakash Nagar Main Road,Near Prakash Nagar Round Park.",Andhra Pradesh,East Godavari,533103
"Syamala Nagar, Rajahmundry",Prasanthi Nursing Home,"Syamala Nagar, Rajahmundry",Andhra Pradesh,East Godavari,533103
"76-4-7, Gandhipuram - 2",Raja Neuro And Multi Speciality Hospital Pvt Ltd,"76-4-7, Gandhipuram - 2",Andhra Pradesh,East Godavari,533103
"75-1-18, Prakash Nagar",Rajahmundry Orthopedic Hospital,"75-1-18, Prakash Nagar",Andhra Pradesh,East Godavari,533103
"Danavai Peta, Rajahmundry",Ratna Orthopaedic Center,"Danavai Peta, Rajahmundry",Andhra Pradesh,East Godavari,533103
